url,title,meta_description,robots_meta,og:title,og:description,og:image,twitter:card,jsonld_types
https://kbtu.edu.kz/en/,Kazakh-British Technical University,KBTU - Kazakhstan’s Leading Technical University World-class English-language education in Almaty Globally recognized diploma Modern technical education in the heart of Almaty Contact: ☎ +7( 727) 357 42 51,,,,,,[]
https://kbtu.edu.kz/en/about-the-university/vision-mission-and-strategic-goals,"Vision, Mission and Strategic Goals",KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/esg-principles-at-kbtu,ESG Principles at KBTU,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4817-kbtu-business-school-student-wins-the-international-competition-the-best-student-of-the-turkic-peoples,KBTU BUSINESS SCHOOL STUDENT WINS THE INTERNATIONAL COMPETITION &quot;THE BEST STUDENT OF THE TURKIC PEOPLES&quot;,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/events/4615-meetup-sustainable-development-and-technologies,MEETUP &quot;SUSTAINABLE DEVELOPMENT AND TECHNOLOGIES&quot;,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/inclusion-and-equal-opportunities-in-kbtu,Inclusion and equal opportunities in KBTU,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4943-admissions-campaign-kicks-off-at-kbtu-high-interest-marks-the-start-of-grant-week,Admissions Campaign Kicks Off at KBTU: High Interest Marks the Start of Grant Week,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/administration,Administration,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4807-the-first-stage-of-the-best-university-teacher-2024-competition-has-been-completed-6-candidates-took-part-in-the-competition-5-of-them-will-participate-in-the-second-republican-stage,"The first stage of &quot;The Best University Teacher – 2024&quot; competition has been completed. 6 candidates took part in the competition, 5 of them will participate in the second - Republican stage.",KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/events/4674-guest-lecture-amine-ourabah,GUEST LECTURE AMINE OURABAH,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
